town_id	assess_townID	town_name	fiscal year	name of zip	url
M039	39	BOYLSTON	2011	L3_SHP_M039_BOYLSTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M039_BOYLSTON.zip
M040	40	BRAINTREE	2013	L3_SHP_M040_BRAINTREE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M040_BRAINTREE.zip
M041	41	BREWSTER	2011	L3_SHP_M041_BREWSTER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M041_BREWSTER.zip
M042	42	BRIDGEWATER	2013	L3_SHP_M042_BRIDGEWATER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M042_BRIDGEWATER.zip
M043	43	BRIMFIELD	2012	L3_SHP_M043_BRIMFIELD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M043_BRIMFIELD.zip
M044	44	BROCKTON	2012	L3_SHP_M044_BROCKTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M044_BROCKTON.zip
M045	45	BROOKFIELD	2011	L3_SHP_M045_BROOKFIELD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M045_BROOKFIELD.zip
M046	46	BROOKLINE	2011	L3_SHP_M046_BROOKLINE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M046_BROOKLINE.zip
M047	47	BUCKLAND	2013	L3_SHP_M047_BUCKLAND.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M047_BUCKLAND.zip
M048	48	BURLINGTON	2013	L3_SHP_M048_BURLINGTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M048_BURLINGTON.zip
M049	49	CAMBRIDGE	2013	L3_SHP_M049_CAMBRIDGE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M049_CAMBRIDGE.zip
M050	50	CANTON	2012	L3_SHP_M050_CANTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M050_CANTON.zip
M051	51	CARLISLE	2012	L3_SHP_M051_CARLISLE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M051_CARLISLE.zip
M052	52	CARVER	2014	L3_SHP_M052_CARVER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M052_CARVER.zip
M053	53	CHARLEMONT	2011	L3_SHP_M053_CHARLEMONT.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M053_CHARLEMONT.zip
M054	54	CHARLTON	2012	L3_SHP_M054_CHARLTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M054_CHARLTON.zip
M055	55	CHATHAM	2012	L3_SHP_M055_CHATHAM.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M055_CHATHAM.zip
M056	56	CHELMSFORD	2011	L3_SHP_M056_CHELMSFORD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M056_CHELMSFORD.zip
M057	57	CHELSEA	2011	L3_SHP_M057_CHELSEA.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M057_CHELSEA.zip
M058	58	CHESHIRE	2012	L3_SHP_M058_CHESHIRE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M058_CHESHIRE.zip
M059	59	CHESTER	2011	L3_SHP_M059_CHESTER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M059_CHESTER.zip
