x_meters	y_meters	LOC_ID	TOWN_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
		M_53288_898463	150	SUMMER ST	770	1
		M_53288_898463	150	SUMMER ST	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST	770	1
		M_53288_898463	150	SUMMER ST	770	1
		M_53288_898463	150	SUMMER ST	770	1
		M_53288_898463	150	SUMMER ST	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_53288_898463	150	SUMMER ST LAKESIDE CONDO	770	1
		M_54513_898885	150	BRAMBLE LANE	21	1
		M_54557_898903	150	BRAMBLE LANE	18	1
		M_54547_898861	150	BRAMBLE LANE	19	1
		M_54586_898879	150	BRAMBLE LANE	17	1
		M_54656_898884	150	BRAMBLE LANE	16	1
		M_54725_898864	150	LAUREL ST	635	1
		M_54707_898828	150	LAUREL ST	617	1
		M_54755_898763	150	LAUREL ST	615	1
		M_54800_898688	150	LAUREL ST	575	1
		M_54809_898657	150	LAUREL ST	563	1
		M_54826_898595	150	LAUREL LAKE	0	1
		M_54844_898524	150	LAUREL ST	515	1
		M_54855_898484	150	LAUREL ST	505	1
		M_54865_898448	150	LAUREL ST	495	1
		M_54878_898414	150	LAUREL ST	485	1
		M_54899_898378	150	LAUREL ST	465	1
		M_54914_898345	150	LAUREL ST	455	1
		M_54944_898281	150	LAUREL ST	435	1
		M_54903_898783	150	LAUREL ST	600	1
		M_54982_898431	150	GOLDEN HILL RD	55	1
		M_54946_898567	150	GOLDEN HILL RD	57	1
		M_55080_898670	150	GOLDEN HILL RD	65	1
		M_55280_898463	150	GOLDEN HILL RD	115	1
		M_55626_898763	150	ERSKINE DR	25	1
		M_55367_898474	150	PINNACLE WAY	25	1
		M_55483_898535	150	PINNACLE WAY	20	1
		M_55394_898601	150	PINNACLE WAY	30	1
		M_55234_898747	150	PINNACLE WAY	40	1
		M_55344_898529	150	PINNACLE WAY	0	1
		M_55205_898609	150	PINNACLE WAY	45	1
		M_55678_898736	150	ERSKINE DR	45	1
		M_55568_898725	150	ERSKINE DR	55	1
		M_55469_898707	150	ERSKINE DR	65	1
		M_55381_898751	150	ERSKINE DR	70	1
		M_55368_898815	150	ERSKINE DR	60	1
		M_55425_898861	150	ERSKINE DR	50	1
		M_55559_898836	150	ERSKINE DR	40	1
